³¯Â¥,PM10,PM2.5
20190601,40.0,33.0
20190602,45.0,31.0
20190603,45.0,28.0
20190604,32.0,27.0
20190605,70.0,56.0
20190606,73.0,62.0
20190607,13.0,13.0
20190608,29.0,22.0
20190609,52.0,44.0
20190610,11.0,11.0
20190611,13.0,10.0
20190612,32.0,23.0
20190613,34.0,27.0
20190614,38.0,29.0
20190615,36.0,25.0
20190616,21.0,17.0
20190617,27.0,21.0
20190618,31.0,29.0
20190619,28.0,27.0
20190620,28.0,25.0
20190621,25.0,22.0
20190622,8.0,8.0
20190623,11.0,9.0
20190624,19.0,16.0
20190625,30.0,23.0
20190626,31.0,25.0
20190627,28.0,22.0
20190628,33.0,31.0
20190629,21.0,20.0
20190630,34.0,30.0
20190701,33.0,31.0
20190702,29.0,26.0
20190703,33.0,28.0
20190704,33.0,25.0
20190705,32.0,23.0
20190706,24.0,21.0
20190707,13.0,13.0
20190708,7.0,8.0
20190709,8.0,8.0
20190710,8.0,8.0
20190711,7.0,8.0
20190712,18.0,15.0
20190713,35.0,34.0
20190714,46.0,45.0
20190715,35.0,28.0
20190716,32.0,25.0
20190717,56.0,46.0
20190718,62.0,48.0
20190719,29.0,26.0
20190720,10.0,7.0
20190721,17.0,17.0
20190722,43.0,35.0
20190723,28.0,23.0
20190724,23.0,18.0
20190725,23.0,20.0
20190726,28.0,20.0
20190727,19.0,19.0
20190728,14.0,14.0
20190729,15.0,13.0
20190730,20.0,16.0
20190731,16.0,13.0
20190801,15.0,11.0
20190802,20.0,14.0
20190803,22.0,15.0
20190804,29.0,22.0
20190805,38.0,27.0
20190806,28.0,20.0
20190807,25.0,17.0
20190808,38.0,28.0
20190809,28.0,21.0
20190810,24.0,17.0
20190811,17.0,13.0
20190812,16.0,14.0
20190813,25.0,18.0
20190814,17.0,14.0
20190815,9.0,8.0
20190816,24.0,15.0
20190817,40.0,24.0
20190818,32.0,18.0
20190819,29.0,19.0
20190820,33.0,20.0
20190821,40.0,28.0
20190822,44.0,29.0
20190823,38.0,21.0
20190824,28.0,15.0
20190825,27.0,17.0
20190826,33.0,20.0
20190827,30.0,21.0
20190828,38.0,25.0
20190829,34.0,23.0
20190830,22.0,14.0
20190831,24.0,15.0
20190901,25.0,16.0
20190902,29.0,16.0
20190903,23.0,15.0
20190904,11.0,8.0
20190905,11.0,9.0
20190906,16.0,11.0
20190907,18.0,10.0
20190908,38.0,25.0
20190909,40.0,26.0
20190910,15.0,13.0
20190911,6.0,9.0
20190912,13.0,9.0
20190913,15.0,10.0
20190914,22.0,16.0
20190915,16.0,12.0
20190916,13.0,9.0
20190917,21.0,12.0
20190918,38.0,15.0
20190919,33.0,14.0
20190920,24.0,13.0
20190921,16.0,11.0
20190922,6.0,7.0
20190923,15.0,9.0
20190924,28.0,16.0
20190925,34.0,18.0
20190926,25.0,17.0
20190927,22.0,14.0
20190928,30.0,20.0
20190929,42.0,29.0
20190930,54.0,35.0
20191001,43.0,29.0
20191002,28.0,18.0
20191003,10.0,9.0
20191004,33.0,23.0
20191005,44.0,24.0
